|------------------------------------------------------------------------------------------|
|                                      WinMTR statistics                                   |
|                       Host              -   %  | Sent | Recv | Best | Avrg | Wrst | Last |
|------------------------------------------------|------|------|------|------|------|------|
|                           192.168.0.254 -    1 | 28896 | 28895 |    0 |    0 |   76 |    0 |
|                         CTA-EDGE-TQR_C- -    1 | 28895 | 28894 |    0 |    0 |   78 |    1 |
|                              10.10.0.37 -    1 | 28886 | 28882 |    1 |    3 |  130 |    2 |
|                           192.168.192.1 -    1 | 28898 | 28897 |    3 |    5 |   92 |   20 |
|                            172.20.0.197 -    1 | 28894 | 28892 |    2 |    6 |  227 |   24 |
|                             172.20.0.81 -    0 | 28901 | 28901 |    2 |    4 |  172 |   21 |
|                             172.20.1.93 -    1 | 28879 | 28873 |    2 |    4 |   71 |   22 |
|                             172.20.0.89 -    1 | 28890 | 28887 |    2 |    8 |  129 |   23 |
|      255-250-edge.pae-rs-br.adyl.net.br -    1 | 28816 | 28794 |   11 |   16 |  113 |   24 |
|      255-240-edge.cwb-pr-br.adyl.net.br -  100 | 5864 |   39 |    0 |   19 |   42 |   24 |
|                        security.upx.com -    1 | 28862 | 28852 |   19 |   20 |  104 |   22 |
|                        security.upx.com -    1 | 28335 | 28191 |   19 |   20 |  131 |   19 |
|                        security.upx.com -  100 | 5856 |   29 |    0 |   21 |   47 |   22 |
|                          187.108.151.38 -  100 | 5848 |   19 |    0 |   21 |   33 |   33 |
|                   No response from host -  100 | 5833 |    0 |    0 |    0 |    0 |    0 |
|                           179.96.89.124 -  100 | 5848 |   19 |    0 |   20 |   23 |   19 |
|               as16735.saopaulo.sp.ix.br -  100 | 5848 |   19 |    0 |   32 |   36 |   34 |
|                            100.126.4.30 -  100 | 5848 |   19 |    0 |   31 |   38 |   32 |
|                          100.127.11.198 -  100 | 5848 |   19 |    0 |   29 |   41 |   26 |
|et-6-0-0-0.ptx-a.bre-511.algartelecom.com.br -  100 | 5848 |   19 |    0 |   28 |   31 |   30 |
|                   No response from host -  100 | 5833 |    0 |    0 |    0 |    0 |    0 |
|                        security.upx.com -  100 | 5848 |   19 |    0 |   21 |   27 |   21 |
|                   No response from host -  100 | 5833 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 5833 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 5833 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 5833 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 5833 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 5833 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 5833 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 5833 |    0 |    0 |    0 |    0 |    0 |
|________________________________________________|______|______|______|______|______|______|
   WinMTR v0.92 GPL V2 by Appnor MSP - Fully Managed Hosting & Cloud Provider
