|------------------------------------------------------------------------------------------|
|                                      WinMTR statistics                                   |
|                       Host              -   %  | Sent | Recv | Best | Avrg | Wrst | Last |
|------------------------------------------------|------|------|------|------|------|------|
|                           192.168.0.254 -    0 | 6774 | 6774 |    0 |    0 |   76 |    0 |
|200-146-210-094.static.ctbctelecom.com.br -    1 | 6770 | 6769 |    0 |    1 |   77 |    0 |
|                          100.101.79.226 -    0 | 6774 | 6774 |    1 |    3 |   94 |    1 |
|                           100.126.4.129 -    0 | 6774 | 6774 |    3 |   10 |   90 |    4 |
|                           100.127.12.66 -    0 | 6774 | 6774 |    2 |   10 |  159 |    3 |
|                           100.126.4.104 -    0 | 6774 | 6774 |    2 |    9 |  154 |    2 |
|                            100.126.6.58 -    1 | 6770 | 6769 |    2 |   10 |  140 |    8 |
|                            100.126.6.29 -    1 | 6766 | 6764 |    3 |   12 |  102 |    7 |
|                          100.127.11.202 -    1 | 6762 | 6759 |   11 |   18 |  100 |   12 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                        security.upx.com -    1 | 6770 | 6769 |   18 |   21 |   88 |   19 |
|                        security.upx.com -    9 | 5029 | 4587 |    0 |   20 |   96 |   19 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 | 1368 |    0 |    0 |    0 |    0 |    0 |
|________________________________________________|______|______|______|______|______|______|
   WinMTR v0.92 GPL V2 by Appnor MSP - Fully Managed Hosting & Cloud Provider
