
** Pinging continuously.  Press control-c to stop **

2026:04:16 14:12:15 Probing 177.136.10.96:491/tcp - No response - time=2003.719ms 
2026:04:16 14:12:17 Probing 177.136.10.96:491/tcp - Port is open - time=1055.765ms 
2026:04:16 14:12:18 Probing 177.136.10.96:491/tcp - Port is open - time=37.745ms 
2026:04:16 14:12:19 Probing 177.136.10.96:491/tcp - No response - time=2002.006ms 
2026:04:16 14:12:21 Probing 177.136.10.96:491/tcp - Port is open - time=1049.720ms 
2026:04:16 14:12:23 Probing 177.136.10.96:491/tcp - Port is open - time=38.058ms 
2026:04:16 14:12:24 Probing 177.136.10.96:491/tcp - Port is open - time=1050.083ms 
2026:04:16 14:12:25 Probing 177.136.10.96:491/tcp - Port is open - time=1058.044ms 
2026:04:16 14:12:26 Probing 177.136.10.96:491/tcp - Port is open - time=1041.453ms 
2026:04:16 14:12:27 Probing 177.136.10.96:491/tcp - Port is open - time=1063.369ms 
2026:04:16 14:12:28 Probing 177.136.10.96:491/tcp - Port is open - time=41.547ms 
2026:04:16 14:12:30 Probing 177.136.10.96:491/tcp - Port is open - time=35.829ms 
2026:04:16 14:12:32 Probing 177.136.10.96:491/tcp - Port is open - time=35.781ms 
2026:04:16 14:12:33 Probing 177.136.10.96:491/tcp - Port is open - time=34.113ms 
2026:04:16 14:12:35 Probing 177.136.10.96:491/tcp - Port is open - time=1040.593ms 
2026:04:16 14:12:36 Probing 177.136.10.96:491/tcp - Port is open - time=31.016ms 
2026:04:16 14:12:37 Probing 177.136.10.96:491/tcp - Port is open - time=35.178ms 
2026:04:16 14:12:39 Probing 177.136.10.96:491/tcp - Port is open - time=45.108ms 
2026:04:16 14:12:41 Probing 177.136.10.96:491/tcp - Port is open - time=33.998ms 
2026:04:16 14:12:42 Probing 177.136.10.96:491/tcp - Port is open - time=35.587ms 
2026:04:16 14:12:44 Probing 177.136.10.96:491/tcp - Port is open - time=1046.608ms 
2026:04:16 14:12:45 Probing 177.136.10.96:491/tcp - Port is open - time=1053.553ms 
2026:04:16 14:12:46 Probing 177.136.10.96:491/tcp - Port is open - time=31.707ms 
2026:04:16 14:12:47 Probing 177.136.10.96:491/tcp - Port is open - time=31.704ms 
2026:04:16 14:12:49 Probing 177.136.10.96:491/tcp - Port is open - time=1054.539ms 
2026:04:16 14:12:50 Probing 177.136.10.96:491/tcp - Port is open - time=34.471ms 
